city,date_time,temperature,humidity,pressure,wind_speed,rainfall,weather_code,latitude,longitude
Islamabad,2025-12-13 16:00:00,16.9,55,956.4,4.7,0.0,3,33.6844,73.0479
Hyderabad,2025-11-24 20:00:00,21.6,35,1014.3,10.0,0.0,0,25.396,68.3578
Shikarpur,2025-09-03 15:00:00,38.8,36,992.3,9.8,0.0,0,27.9556,68.6382
Kot Addu,2024-04-22 23:00:00,22.3,57,992.8,9.4,0.0,1,30.4691,70.967
Gwadar,2025-03-19 23:00:00,23.5,79,1013.3,15.7,0.0,0,25.1264,62.3225
Mandi Bahauddin,2025-07-20 16:00:00,34.8,60,969.1,6.9,0.0,0,32.5861,73.4917
Gupis,2024-06-17 23:00:00,2.2,99,637.3,2.9,0.0,3,36.1667,73.4333
Wah Cantt,2024-07-04 16:00:00,33.9,58,947.0,16.5,0.0,1,33.77,72.75
Kahuta,2024-07-16 18:00:00,34.3,42,933.7,11.4,0.0,0,33.5917,73.3875
Sargodha,2024-11-14 03:00:00,16.9,95,990.5,7.9,0.0,0,32.0836,72.6711
Muzaffarabad,2024-09-01 06:00:00,23.8,84,926.8,2.2,0.0,0,34.37,73.4711
Kohat,2025-09-26 10:00:00,31.2,37,952.1,1.0,0.0,0,33.5869,71.4429
Gilgit,2024-05-10 09:00:00,24.2,29,861.6,2.6,0.0,0,35.9208,74.3083
Nankana Sahib,2025-09-02 01:00:00,24.7,87,979.0,9.4,0.0,3,31.45,73.7
Lakki Marwat,2025-01-17 21:00:00,9.8,53,987.3,2.5,0.0,3,32.607,70.9114
Burewala,2025-10-19 20:00:00,26.1,46,993.9,9.1,0.0,0,30.1667,72.65
Kalat,2025-07-28 07:00:00,20.9,39,798.4,4.8,0.0,0,29.0266,66.5936
Dera Ghazi Khan,2025-01-30 09:00:00,14.9,52,999.7,18.1,0.0,0,30.0561,70.6348
Murree,2025-06-12 00:00:00,19.3,34,787.0,2.1,0.0,0,33.9073,73.3903
Sibi,2024-04-25 04:00:00,18.6,85,989.6,10.5,0.0,0,29.543,67.8773
Wah Cantt,2024-03-30 16:00:00,18.4,75,959.3,14.5,0.0,3,33.77,72.75
Kasur,2024-03-18 03:00:00,13.6,59,988.5,9.7,0.0,0,31.115,74.4467
Bagh,2024-10-06 21:00:00,6.1,66,707.5,5.6,0.0,0,33.9861,73.9478
Sibi,2025-01-31 14:00:00,21.8,17,995.4,4.2,0.0,0,29.543,67.8773
Jhelum,2025-03-26 08:00:00,20.4,64,980.1,13.4,0.7,53,32.9425,73.7257
Dadu,2025-08-06 14:00:00,38.5,40,994.4,8.0,0.0,1,26.7319,67.775
Mansehra,2024-10-05 22:00:00,21.5,69,896.3,1.4,0.0,3,34.33,73.2
Taxila,2024-05-06 06:00:00,22.2,66,943.9,8.7,0.0,0,33.7463,72.8397
Sibi,2024-03-03 08:00:00,8.8,47,998.2,22.1,0.0,0,29.543,67.8773
Chilas,2024-07-07 13:00:00,31.2,31,879.0,2.7,0.0,1,35.4206,74.0967
Nawabshah,2025-02-19 14:00:00,29.9,35,1004.6,8.0,0.0,0,26.2442,68.41
Dadu,2025-04-03 22:00:00,30.2,15,1004.5,8.0,0.0,0,26.7319,67.775
Mingora,2024-12-07 09:00:00,8.7,43,906.6,6.5,0.0,0,34.7717,72.36
Bannu,2025-02-08 20:00:00,16.2,22,971.1,2.6,0.0,3,32.9853,70.6042
Shikarpur,2024-08-31 17:00:00,32.0,59,996.7,2.2,0.0,0,27.9556,68.6382
Lahore,2025-07-30 04:00:00,26.4,93,973.7,14.8,3.0,63,31.5204,74.3587
Muzaffargarh,2025-12-03 02:00:00,9.8,87,1002.5,5.9,0.0,0,30.0703,71.1933
Chiniot,2024-04-10 01:00:00,21.3,40,986.7,9.8,0.0,0,31.72,72.9789
Chilas,2024-03-08 19:00:00,7.6,76,888.9,4.3,0.0,2,35.4206,74.0967
Gujranwala,2025-02-17 15:00:00,25.2,30,989.0,7.6,0.0,1,32.1877,74.1945
Gujrat,2024-10-18 02:00:00,21.2,84,980.9,7.1,0.0,0,32.5736,74.078
Batkhela,2024-05-29 12:00:00,36.6,14,928.2,5.6,0.0,0,34.6167,71.9667
Mirpur,2025-07-20 07:00:00,29.1,77,951.2,4.4,0.0,3,33.1483,73.7517
Badin,2025-09-19 10:00:00,29.9,72,1007.2,14.1,0.0,2,24.655,68.838
Chakwal,2024-02-05 11:00:00,14.2,51,960.0,8.2,0.0,0,32.9336,72.8634
Tank,2024-02-07 09:00:00,10.3,66,992.8,1.9,0.0,0,32.2167,70.3833
Narowal,2025-05-17 07:00:00,26.6,54,974.7,9.4,0.0,0,32.1,74.8833
Haripur,2025-12-30 09:00:00,12.3,54,954.0,6.2,0.0,3,33.9942,72.934
Bhakkar,2024-02-04 16:00:00,16.9,57,994.3,2.0,0.0,0,31.6252,71.0657
Larkana,2025-03-08 18:00:00,31.8,19,1000.3,0.3,0.0,0,27.559,68.212
Shikarpur,2024-06-06 15:00:00,43.3,29,993.8,8.3,0.0,1,27.9556,68.6382
Khanewal,2025-12-17 09:00:00,13.7,80,1003.6,3.7,0.0,3,30.3017,71.9321
Dir,2024-02-20 01:00:00,2.1,84,853.5,5.8,0.0,3,35.2058,71.8767
Karachi,2025-04-05 11:00:00,32.9,42,1011.9,10.0,0.0,0,24.8607,67.0011
Bhakkar,2025-03-05 15:00:00,22.5,37,995.0,4.2,0.0,0,31.6252,71.0657
Quetta,2025-05-19 18:00:00,30.3,7,838.8,12.4,0.0,0,30.1798,66.975
Khanewal,2025-05-03 23:00:00,28.1,47,987.8,5.1,0.0,3,30.3017,71.9321
Kandhkot,2024-11-08 13:00:00,33.9,36,1004.1,5.2,0.0,0,28.245,69.18
Dadu,2024-01-09 19:00:00,14.3,60,1016.1,9.7,0.0,0,26.7319,67.775
Quetta,2025-01-07 05:00:00,-0.5,55,838.3,0.7,0.0,0,30.1798,66.975
Abbottabad,2025-10-28 23:00:00,14.3,57,881.5,5.8,0.0,0,34.1688,73.2215
Kahuta,2024-01-14 22:00:00,6.2,90,944.8,7.4,0.0,0,33.5917,73.3875
Kahuta,2025-10-18 20:00:00,18.6,65,942.1,6.0,0.0,2,33.5917,73.3875
Haripur,2024-12-10 02:00:00,1.7,49,955.2,6.4,0.0,3,33.9942,72.934
Multan,2024-07-27 16:00:00,41.7,38,978.8,12.4,0.0,0,30.1575,71.5249
Pakpattan,2024-05-26 11:00:00,43.9,17,980.2,6.5,0.0,0,30.341,73.3866
Nushki,2025-04-22 18:00:00,28.4,8,907.2,7.7,0.0,0,29.5522,66.0225
Charsadda,2025-12-07 22:00:00,8.8,88,983.8,1.5,0.0,0,34.1482,71.7406
Loralai,2025-06-02 08:00:00,24.1,12,852.5,21.0,0.0,0,30.3705,68.5979
Burewala,2024-07-22 18:00:00,37.7,44,977.9,9.7,0.0,0,30.1667,72.65
Khanewal,2025-07-15 22:00:00,26.9,88,983.5,13.9,0.1,51,30.3017,71.9321
Muzaffargarh,2025-04-29 04:00:00,26.9,19,987.1,3.1,0.0,0,30.0703,71.1933
Hangu,2024-09-27 09:00:00,20.2,98,916.4,9.4,0.9,53,33.5311,71.0597
Ghotki,2024-02-28 10:00:00,20.9,47,1012.0,7.9,0.0,0,28.0064,69.3161
Chitral,2024-08-25 16:00:00,30.3,27,850.2,7.9,0.0,0,35.8518,71.7864
Chitral,2024-10-05 02:00:00,20.6,36,852.0,5.1,0.0,0,35.8518,71.7864
Rawalpindi,2024-04-23 16:00:00,26.3,44,950.8,15.3,0.0,3,33.5651,73.0169
Rahim Yar Khan,2025-05-01 19:00:00,39.2,9,990.9,5.0,0.0,1,28.4202,70.2952
Muzaffargarh,2024-08-18 01:00:00,26.1,96,990.9,7.6,0.2,51,30.0703,71.1933
Vehari,2025-08-15 02:00:00,28.4,84,986.3,6.8,0.0,3,30.0419,72.3528
Matiari,2025-12-06 09:00:00,17.0,49,1018.2,9.6,0.0,3,25.597,68.4467
Gilgit,2024-06-24 13:00:00,23.4,54,856.5,2.9,0.6,53,35.9208,74.3083
Larkana,2024-06-28 15:00:00,42.4,32,988.9,11.6,0.0,1,27.559,68.212
Wah Cantt,2024-10-11 01:00:00,18.9,67,957.3,5.3,0.0,0,33.77,72.75
Larkana,2024-02-11 15:00:00,26.3,25,1013.0,3.7,0.0,0,27.559,68.212
Quetta,2025-06-08 21:00:00,27.7,19,839.3,3.6,0.0,0,30.1798,66.975
Kahuta,2024-11-02 05:00:00,12.1,86,941.1,4.0,0.0,0,33.5917,73.3875
Karak,2024-01-25 23:00:00,10.5,80,955.7,2.2,0.0,3,33.1167,71.0833
Mastung,2025-02-05 22:00:00,0.5,45,832.8,2.8,0.0,0,29.7997,66.8455
Vehari,2024-06-02 07:00:00,34.1,36,985.8,16.9,0.0,0,30.0419,72.3528
Shikarpur,2024-06-26 14:00:00,44.3,23,986.1,10.4,0.0,0,27.9556,68.6382
Kohat,2025-09-13 20:00:00,29.5,64,947.9,4.0,0.0,0,33.5869,71.4429
Ormara,2024-08-09 11:00:00,30.3,72,1004.1,13.8,0.0,3,25.2088,64.6357
